"","","","","Mid-year 1991 ","Mid-year 1992 ","Mid-year 1993 ","Mid-year 1994 ","Mid-year 1995 ","Mid-year 1996 ","Mid-year 1997 ","Mid-year 1998 ","Mid-year 1999 ","Mid-year 2000 ","Mid-year 2001 ","Mid-year 2002 ","Mid-year 2003 ","Mid-year 2004 ","Mid-year 2005 ","Mid-year 2006 ","Mid-year 2007 ","Mid-year 2008 ","Mid-year 2009 ","Mid-year 2010 ","Mid-year 2011 ","Mid-year 2012 ","Mid-year 2013 ","Mid-year 2014 ","Mid-year 2015 ","Mid-year 2016 ","Mid-year 2017 ","Mid-year 2018 ","Mid-year 2019 "
"United Kingdom ","","","",9058984,9102309,9136671,9154184,9195857,9223223,9243550,9270018,9277504,9307797,9372838,9429824,9489469,9549593,9614948,9654253,9742975,9893628,10071808,10262727,10458186,10840946,11131841,11406821,11611167,11814085,11989322,12165557,12374961
"United Kingdom ","Great Britain ","","",8850710,8891595,8924531,8940878,8980880,9006416,9025601,9050610,9057366,9086549,9148748,9202995,9260110,9317423,9380043,9416203,9501047,9646128,9818441,10003092,10192424,10568127,10852707,11120905,11319343,11516330,11686347,11857360,12060237
"","Great Britain ","England ","",7587127,7620861,7649694,7663645,7696756,7718425,7733326,7753528,7759529,7783483,7835526,7880854,7929060,7975860,8028009,8054480,8125168,8249981,8400287,8563615,8729667,9056508,9305179,9537708,9711572,9882841,10030511,10179253,10353716
"","","Wales ","",493135,496941,499442,499941,502093,502975,503249,504503,502765,503581,506041,509290,512546,516336,519752,523943,529874,538401,547597,557255,566393,585878,600630,614747,624773,634637,643269,651993,662376
"","","Wales ","Isle of Anglesey ",12237,12388,12537,12517,12499,12540,12580,12607,12673,12770,12812,13014,13255,13526,13783,14002,14309,14730,15098,15427,15729,16248,16581,16967,17265,17545,17812,17992,18358
"","","","Gwynedd ",21983,22160,22248,22209,22303,22325,22401,22361,22178,22183,22225,22439,22705,22872,23040,23269,23565,23979,24488,24807,25319,26143,26668,27279,27498,27704,27971,28171,28380
"","","","Conwy ",25873,25908,26006,25764,25797,25640,25508,25452,25135,25165,25345,25624,25803,26023,26126,26374,26629,27102,27448,27912,28382,29160,29759,30449,30908,31449,31741,32154,32732
"","","","Denbighshire ",19356,19309,19276,19156,19214,19122,19012,18867,18763,18778,18831,18911,19020,19073,19095,19160,19261,19411,19550,19708,19855,20583,21195,21719,22061,22380,22671,22959,23237
"","","","Flintshire ",20559,20848,21083,21200,21349,21387,21474,21729,21775,21930,22203,22561,22969,23361,23737,24090,24499,25096,25852,26466,27109,28395,29336,30301,30984,31696,32195,32652,33068
"","","","Wrexham ",20015,20268,20423,20398,20487,20445,20470,20548,20446,20526,20627,20574,20633,20773,20873,21027,21284,21746,22160,22568,23046,24031,24805,25413,25708,26135,26479,26959,27438
"","","","Powys ",22726,23016,23240,23416,23618,23938,24236,24476,24623,24999,25282,25597,25911,26289,26687,27128,27745,28490,29271,29943,30527,31749,32720,33593,34157,34732,35152,35775,36376
"","","","Ceredigion ",12600,12824,12988,13156,13280,13375,13503,13729,13745,13839,14051,14235,14366,14494,14622,14650,14830,15048,15330,15642,15775,16373,16720,17111,17326,17644,17956,18195,18434
"","","","Pembrokeshire ",19392,19780,20127,20193,20401,20564,20623,20863,21060,21252,21579,22024,22537,23043,23403,23825,24292,24930,25555,26223,26914,27904,28755,29521,30199,30919,31529,32130,32738
"","","","Carmarthenshire ",33554,33749,33855,33904,34034,33912,33844,33874,33697,33778,33755,34194,34415,34631,34812,35196,35720,36417,37072,37703,38447,39570,40575,41519,42124,42667,43471,44011,44843
"","","","Swansea ",39859,40206,40423,40855,40777,40847,40931,41127,40931,40834,40921,41006,41056,41012,41027,41044,41168,41588,42043,42540,43033,44367,45358,46258,46811,47203,47549,48049,48720
"","","","Neath Port Talbot ",25277,25318,25348,24913,25392,25393,25221,25069,24902,24694,24636,24716,24778,24840,24864,24963,25119,25350,25621,25940,26204,26985,27542,28095,28447,28800,29159,29530,29981
"","","","Bridgend ",21382,21429,21429,21422,21433,21281,21234,21279,21180,21175,21323,21504,21714,22030,22224,22480,22936,23435,23981,24546,25028,25874,26610,27398,27859,28460,28935,29379,29880
"","","","Vale of Glamorgan ",18876,19073,19158,19265,19329,19457,19583,19743,19749,19982,20046,20236,20401,20664,20995,21190,21551,22003,22401,22806,23226,24225,24980,25570,25994,26474,27064,27691,28347
"","","","Cardiff ",45830,46083,46316,46291,46423,46493,46425,46397,45714,45468,45076,44840,44467,44246,44106,44042,44122,44405,44782,45311,45741,46998,47816,48774,49586,50317,50865,51339,52192
"","","","Rhondda Cynon Taf ",37913,38085,38132,37879,37902,37831,37721,37655,37643,37457,37807,37728,37773,37828,37909,38125,38218,38626,39122,39711,40314,41710,42843,43634,44386,44880,45389,45994,46628
"","","","Merthyr Tydfil ",9686,9663,9570,9492,9442,9413,9294,9222,9111,9010,9059,9019,9059,9131,9149,9206,9293,9359,9541,9743,9856,10136,10333,10575,10741,10937,11108,11224,11386
"","","","Caerphilly ",24587,24879,24969,25155,25183,25322,25396,25498,25560,25651,25888,26161,26371,26651,26860,27107,27609,28001,28550,29249,29827,30902,31831,32687,33380,34002,34462,34992,35549
"","","","Blaenau Gwent ",12565,12500,12457,12389,12385,12319,12184,12046,11954,11844,11845,11784,11780,11761,11834,11940,12028,12149,12284,12446,12517,12928,13086,13386,13558,13763,13888,13932,14192
"","","","Torfaen ",14166,14370,14448,14548,14655,14802,14880,15003,15075,15132,15308,15316,15327,15419,15544,15675,15751,15863,16019,16291,16477,16977,17350,17757,18098,18466,18711,18973,19336
"","","","Monmouthshire ",13585,13758,14036,14344,14643,14852,14930,14985,14901,15087,15302,15545,15868,16211,16514,16826,17166,17684,18180,18682,19228,20043,20682,21275,21877,22492,22998,23424,23891
"","","","Newport ",21114,21327,21373,21475,21547,21717,21799,21973,21950,22027,22120,22262,22338,22458,22548,22624,22779,22989,23249,23591,23839,24577,25085,25466,25806,25972,26164,26468,26670
"","","Scotland ","Scotland ",770448,773793,775395,777292,782031,785016,789026,792579,795072,799485,807181,812851,818504,825227,832282,837780,846005,857746,870557,882222,896364,925741,946898,968450,982998,998852,1012567,1026114,1044145
"","Northern Ireland ","Northern Ireland ","Northern Ireland ",208274,210714,212140,213306,214977,216807,217949,219408,220138,221248,224090,226829,229359,232170,234905,238050,241928,247500,253367,259635,265762,272819,279134,285916,291824,297755,302975,308197,314724


