"","Nursery 1 ","","","","","Nursery 1 ","Nursery 2 ","","","","","Nursery 2 ","Reception ","","","","","Reception ","Year Group 1 ","","","","","Year Group 1 ","Year Group 2 ","","","","","Year Group 2 ","Year Group 3 ","","","","","Year Group 3 ","Year Group 4 ","","","","","Year Group 4 ","Year Group 5 ","","","","","Year Group 5 ","Year Group 6 ","","","","","Year Group 6 ","Year Group 7 ","","","","","Year Group 7 ","Year Group 8 ","","","","","Year Group 8 ","Year Group 9 ","","","","","Year Group 9 ","Year Group 10 ","","","","","Year Group 10 ","Year Group 11 ","","","","","Year Group 11 ","Year Group 12 ","","","","","Year Group 12 ","Year Group 13 ","","","","","Year Group 13 ","Year Group 14 ","","","","","Year Group 14 "
"","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)",".","Nursery schools (6)","Primary schools (7)","Middle schools (8)","Secondary schools (9)","Special schools (10)","."
"Isle of Anglesey (1)",".",".",".",".","."," ",".",595,".",".","*"," ",".",715,".",".",10," ",".",755,".",".","*"," ",".",775,".",".",5," ",".",780,".",".",10," ",".",765,".",".",5," ",".",750,".",".",5," ",".",740,".",".",5," ",".",".",".",650,10," ",".",".",".",640,5," ",".",".",".",640,10," ",".",".",".",650,5," ",".",".",".",595,10," ",".",".",".",285,5," ",".",".",".",250,"*"," ",".",".",".",".",5," "
"Gwynedd (1)",".",".",".",".","."," ",".",1010,55,".","*"," ",".",1120,40,".",5," ",".",1160,45,".",15," ",".",1265,45,".",15," ",".",1220,50,".",10," ",".",1265,30,".",15," ",".",1215,45,".",15," ",".",1210,45,".",10," ",".",".",40,1310,10," ",".",".",45,1295,15," ",".",".",55,1170,20," ",".",".",50,1150,15," ",".",".",45,1075,20," ",".",".",".",345,20," ",".",".",".",335,15," ",".",".",".",".",15," "
"Conwy (1)",".",".",".",".","."," ",".",1050,".",".","*"," ",".",1070,".",".",10," ",".",1140,".",".",10," ",".",1160,".",".",15," ",".",1200,".",".",20," ",".",1195,".",".",20," ",".",1110,".",".",10," ",".",1140,".",".",10," ",".",".",".",1100,15," ",".",".",".",1120,20," ",".",".",".",1100,20," ",".",".",".",1075,20," ",".",".",".",995,20," ",".",".",".",585,10," ",".",".",".",535,10," ",".",".",".",".",15," "
"Denbighshire (1)",".",20,".",".","."," ",".",1045,10,".","."," ",".",1085,10,".",5," ",".",1115,10,".",5," ",".",1055,15,".",5," ",".",1125,20,".",15," ",".",1100,20,".",20," ",".",1065,30,".",15," ",".",1130,30,".",20," ",".",".",55,1165,25," ",".",".",55,1150,25," ",".",".",55,1120,25," ",".",".",55,1075,35," ",".",".",55,970,25," ",".",".",30,380,25," ",".",".",25,335,15," ",".",".",".",".",10," "
"Flintshire (1)",".",70,".",".","."," ",".",1535,".",".",10," ",".",1650,".",".",5," ",".",1715,".",".",10," ",".",1795,".",".",10," ",".",1765,".",".",15," ",".",1805,".",".",10," ",".",1790,".",".",15," ",".",1805,".",".",20," ",".",".",".",1745,15," ",".",".",".",1630,10," ",".",".",".",1625,15," ",".",".",".",1670,10," ",".",".",".",1490,20," ",".",".",".",565,10," ",".",".",".",515,10," ",".",".",".",".",10," "
"Wrexham (1)",10,95,".",".","."," ",15,1435,".",".","."," ",10,1570,".",".","."," ",".",1640,".",".","."," ",".",1660,".",".","."," ",".",1675,".",".",10," ",".",1640,".",".",10," ",".",1645,".",".",10," ",".",1675,".",".",20," ",".",".",".",1270,15," ",".",".",".",1290,25," ",".",".",".",1215,30," ",".",".",".",1175,40," ",".","*",".",1070,50," ",".",".",".",115,40," ",".",".",".",105,30," ",".",".",".",".",20," "
"Powys (2)",".",110,".",".","."," ",".",360,".",".","*"," ",".",1240,25,".",5," ",".",1225,15,".",10," ",".",1255,25,".",10," ",".",1310,35,".",10," ",".",1270,20,".",5," ",".",1265,30,".",10," ",".",1360,35,".",25," ",".",".",50,1205,25," ",".",".",45,1205,25," ",".",".",50,1220,30," ",".",".",35,1240,25," ",".",".",40,1170,45," ",".",".",45,475,20," ",".",".",40,420,15," ",".",".",".",".",15," "
"Ceredigion (2)",".",5,15,".","."," ",".",365,110,".","."," ",".",615,105,".","."," ",".",555,95,".","."," ",".",605,100,".","."," ",".",570,110,".","."," ",".",625,110,".","."," ",".",505,115,".","."," ",".",530,120,".","."," ",".",".",230,520,"."," ",".",".",225,455,"."," ",".",".",225,505,"."," ",".",".",220,515,"."," ",".",".",240,465,"."," ",".",".",105,265,"."," ",".",".",125,255,"."," ",".",".",".",".","."," "
"Pembrokeshire (2)",".",280,25,".","."," ",".",1090,65,".","*"," ",".",1200,75,".","*"," ",".",1145,65,".","*"," ",".",1330,75,".",5," ",".",1305,55,".",5," ",".",1285,55,".",10," ",".",1270,55,".",10," ",".",1290,50,".",5," ",".",".",110,1100,10," ",".",".",70,1135,15," ",".",".",60,1085,15," ",".",".",65,1070,15," ",".",".",70,1015,20," ",".",".",".",325,15," ",".",".",".",260,10," ",".",".",".",".",10," "
"Carmarthenshire (2)",35,365,".",".","*"," ",60,1565,".",".",35," ","*",1905,".",".",20," ",".",1970,".",".",25," ",".",2065,".",".",5," ",".",2085,".",".",5," ",".",2000,".",".","*"," ",".",1930,".",".",5," ",".",2110,".",".","*"," ",".",".",".",2025,"*"," ",".",".",".",1975,"*"," ",".",".",".",1950,5," ",".",".",".",1920,10," ",".",".",".",1840,15," ",".",".",".",775,"."," ",".",".",".",715,"."," ",".",".",".","*","."," "
"Swansea (2)",".",780,".",".","."," ",".",2505,".",".",5," ",".",2520,".",".","*"," ",".",2605,".",".",5," ",".",2800,".",".","*"," ",".",2775,".",".",5," ",".",2690,".",".",5," ",".",2640,".",".",5," ",".",2830,".",".",5," ",".",".",".",2565,10," ",".",".",".",2490,20," ",".",".",".",2385,25," ",".",".",".",2420,15," ",".",".",".",2385,10," ",".",".",".",735,25," ",".",".",".",585,15," ",".",".",".",".",15," "
"Neath Port Talbot (2)",".",450,30,".","."," ",".",1365,80,".","."," ",".",1370,90,".","*"," ",".",1385,80,".",5," ",".",1475,75,".",5," ",".",1540,85,".",10," ",".",1470,80,".",10," ",".",1470,90,".",10," ",".",1475,80,".",10," ",".",".",675,930,30," ",".",".",620,975,30," ",".",".",635,980,35," ",".",".",585,920,40," ",".",".",550,860,40," ",".",".",110,110,"*"," ",".",".",100,75,5," ",".",".",".",".",5," "
"Bridgend (3)",".",335,".",".","."," ",".",1540,".",".","."," ",".",1550,".",".",15," ",".",1645,".",".",15," ",".",1730,".",".",15," ",".",1780,".",".",15," ",".",1695,".",".",25," ",".",1600,".",".",20," ",".",1645,".",".",30," ",".",".",".",1650,15," ",".",".",".",1545,25," ",".",".",".",1615,50," ",".",".",".",1490,35," ",".",".",".",1395,25," ",".",".",".",770,40," ",".",".",".",725,45," ",".",".",".",".",20," "
"Vale of Glamorgan (3)",35,420,10,".","."," ",115,1300,35,".","*"," ",".",1505,25,".",10," ",".",1605,30,".",15," ",".",1585,30,".",15," ",".",1655,30,".",15," ",".",1680,30,".",20," ",".",1610,30,".",15," ",".",1665,30,".",20," ",".",".",185,1460,15," ",".",".",160,1375,15," ",".",".",160,1375,15," ",".",".",150,1330,20," ",".",".",155,1260,25," ",".",".",65,705,20," ",".",".",45,560,10," ",".",".",".",".",25," "
"Rhondda Cynon Taf (3)",".",375,40,".","*"," ",".",2475,145,".",15," ",".",2540,120,".",20," ",".",2585,130,".",30," ",".",2605,170,".",35," ",".",2725,170,".",40," ",".",2655,130,".",35," ",".",2645,155,".",30," ",".",2635,125,".",30," ",".",".",505,2305,35," ",".",".",540,2295,35," ",".",".",530,2245,50," ",".",".",500,2100,50," ",".",".",495,2180,45," ",".",".",175,950,35," ",".",".",130,790,50," ",".",".",".",5,35," "
"Merthyr Tydfil (3)",".",205,".",".","."," ",".",750,".",".",5," ",".",720,".",".",10," ",".",720,".",".",10," ",".",735,".",".",15," ",".",720,".",".",10," ",".",655,".",".",10," ",".",715,".",".",10," ",".",770,".",".",10," ",".",".",".",620,15," ",".",".",".",585,10," ",".",".",".",595,10," ",".",".",".",540,10," ",".",".",".",515,15," ",".",".",".",".",10," ",".",".",".",".",10," ",".",".",".",".",15," "
"Caerphilly (4)",".",475,10,".","*"," ",".",2000,20,".",5," ",".",2010,25,".","*"," ",".",2065,30,".",10," ",".",2065,30,".",5," ",".",2145,40,".",5," ",".",2115,15,".",10," ",".",2080,25,".",10," ",".",2125,35,".",10," ",".",".",135,1890,10," ",".",".",130,1875,10," ",".",".",115,1840,10," ",".",".",110,1910,15," ",".",".",115,1815,10," ",".",".",30,420,10," ",".",".",40,355,15," ",".",".",".","*",10," "
"Blaenau Gwent (4)",".",165,40,".","*"," ",".",590,135,".","*"," ",".",600,175,".","*"," ",".",615,160,".",10," ",".",580,155,".",10," ",".",585,165,".",10," ",".",605,175,".",15," ",".",590,170,".",20," ",".",635,160,".",10," ",".",".",335,245,"*"," ",".",".",310,310,20," ",".",".",285,250,25," ",".",".",310,290,20," ",".",".",280,230,25," ",".",".",".",".",5," ",".",".",".",".",10," ",".",".",".",".",5," "
"Torfaen (4)",".",150,".",".","*"," ",".",825,".",".","."," ",".",1075,".",".","*"," ",".",1115,".",".","*"," ",".",1100,".",".",5," ",".",1115,".",".",15," ",".",1130,".",".",10," ",".",1100,".",".","*"," ",".",1090,".",".",10," ",".",".",".",1110,15," ",".",".",".",1125,10," ",".",".",".",1120,5," ",".",".",".",1075,5," ",".",".",".",1025,5," ",".",".",".",365,10," ",".",".",".",305,10," ",".",".",".",".",5," "
"Monmouthshire (4)",".",110,".",".","."," ",".",395,".",".","."," ",".",840,".",".","."," ",".",885,".",".","."," ",".",925,".",".","."," ",".",900,".",".","."," ",".",900,".",".","."," ",".",910,".",".","."," ",".",915,".",".","."," ",".",".",".",750,"*"," ",".",".",".",780,"*"," ",".",".",".",790,"*"," ",".",".",".",805,5," ",".",".",".",790,10," ",".",".",".",410,"."," ",".",".",".",370,"."," ",".",".",".",".","."," "
"Newport (4)",20,270,".",".","."," ",100,1535,".",".","*"," ",".",1950,".",".",5," ",".",2005,".",".",15," ",".",1970,".",".",10," ",".",1995,".",".",15," ",".",1990,".",".",25," ",".",1935,".",".",15," ",".",2020,".",".",15," ",".",".",".",1885,15," ",".",".",".",1750,15," ",".",".",".",1765,5," ",".",".",".",1650,15," ",".",".",".",1605,10," ",".",".",".",885,10," ",".",".",".",725,5," ",".",".",".",".","*"," "
"Cardiff (3)",30,690,".",".","*"," ",245,3585,".",".","*"," ",".",4125,".",".",30," ",".",4105,".",".",35," ",".",4335,".",".",35," ",".",4320,".",".",45," ",".",4160,".",".",45," ",".",4205,".",".",55," ",".",4115,".",".",70," ",".",".",".",3815,45," ",".",".",".",3665,55," ",".",".",".",3550,45," ",".",".",".",3335,40," ",".",".",".",3255,45," ",".",".",".",1755,20," ",".",".",".",1295,25," ",".",".",".",".",20," "
"Wales (5)",130,5370,170,".",10," ",535,28925,660,".",95," ",15,32975,690,".",170," ",".",33755,665,".",240," ",".",34860,720,".",220," ",".",35285,760,".",285," ",".",34695,670,".",300," ",".",34045,735,".",290," ",".",34895,705,".",345," ",".",".",2325,31315,345," ",".",".",2195,30655,385," ",".",".",2165,30135,440," ",".",".",2085,29410,445," ",".","*",2045,28010,480," ",".",".",560,11235,350," ",".",".",500,9505,315," ",".",".",".",10,265," "


