National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,
,,,,
Special schools / Ysgolion arbennig,,,,
,,,,
Note: This list reflects the support category of schools open in January 2020. Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.,,,,
,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth"
6607011,Canolfan Addysg Y Bont,Isle of Anglesey / Sir Ynys M̫n,GwE / GwE,Yellow/Melyn
6617002,Ysgol Pendalar,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6617010,Ysgol Hafod Lon,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn
6627007,Ysgol Y Gogarth,Conwy / Conwy,GwE / GwE,Green/Gwyrdd
6637000,Ysgol Tir Morfa,Denbighshire / Sir Ddinbych,GwE / GwE,Green/Gwyrdd
6637010,Ysgol Plas Brondyffryn,Denbighshire / Sir Ddinbych,GwE / GwE,Yellow/Melyn
6647020,Pen Coch,Flintshire / Sir y Fflint,GwE / GwE,Yellow/Melyn
6647021,Ysgol Maes Hyfryd,Flintshire / Sir y Fflint,GwE / GwE,Green/Gwyrdd
6657005,St Christophers School,Wrexham / Wrecsam,GwE / GwE,Yellow/Melyn
6667001,Brynllywarch Hall School,Powys / Powys,ERW / ERW,Amber/Oren
6667002,Ysgol Cedewain,Powys / Powys,ERW / ERW,Yellow/Melyn
6667004,Ysgol Penmaes,Powys / Powys,ERW / ERW,Green/Gwyrdd
6687001,Portfield School,Pembrokeshire / Sir Benfro,ERW / ERW,Green/Gwyrdd
6697000,Ysgol Heol Goffa,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Green/Gwyrdd
6697010,Rhydygors School & Support Services,Carmarthenshire / Sir Gaerfyrddin,ERW / ERW,Red/Coch
6707000,Ysgol Pen-y-Bryn,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd
6707008,Ysgol Crug Glas,Swansea / Abertawe,ERW / ERW,Yellow/Melyn
6717006,Ysgol Maes Y Coed,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd
6717008,Ysgol Hendrefelin,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn
6727003,Heronsbridge Special School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6727012,Ysgol Bryn Castell,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6737024,Ysgol Y Deri,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6747006,Maesgwyn,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6747008,Park Lane Special School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6747011,Ysgol Hen Felin,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6747015,Ysgol Ty Coch,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6757013,Greenfield School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6767011,Trinity Fields Special School ,Caerphilly,EAS / GCA,Green/Gwyrdd
6777011,Penycwm Special School ,Blaenau Gwent,EAS / GCA,Green/Gwyrdd
6787012,Crownbridge Special school ,Torfaen,EAS / GCA,Green/Gwyrdd
6797006,Mounton House ,Monmouthshire,EAS / GCA,Yellow/Melyn
6807002,Maes Ebbw Special ,Newport,EAS / GCA,Yellow/Melyn
6807004,Ysgol Bryn Derw,Newport,EAS / GCA,Yellow/Melyn
6817001,Greenhill Special School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6817005,The Court School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6817006,Woodlands High School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn
6817008,Riverbank School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6817011,Ty-Gwyn Special School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6817019,The Hollies School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd
6817021,Meadowbank Special School,Cardiff / Caerdydd,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren
